date,amount,category,description
07-07-2024,75,Expense,Transport
08-07-2024,150,Income,Freelance Work
09-07-2024,30,Expense,Groceries
10-07-2024,50,Expense,Entertainment
11-07-2024,200,Income,Salary
12-07-2024,60,Expense,Dining Out
13-07-2024,100,Expense,Utilities
14-07-2024,500,Income,Bonus
15-07-2024,40,Expense,Gas
16-07-2024,80,Expense,Clothing
17-07-2024,75,Income,Gift
18-07-2024,35,Expense,Coffee
19-07-2024,90,Expense,Internet
20-07-2024,250,Income,Investment Return
21-07-2024,45,Expense,Books